Date,Count
2012-10-22,117
2012-11-13,63
2012-11-16,42
2012-11-20,288
2012-11-21,164
2012-11-23,316
2012-11-26,235
2012-11-27,379
2012-11-28,89
2012-11-29,461
2012-12-03,432
2012-12-04,9
2012-12-05,215
2012-12-06,260
2012-12-11,331
2012-12-13,499
2012-12-14,242
2012-12-17,632
2012-12-18,532
2013-01-03,152
2013-01-04,574
2013-01-07,806
2013-01-08,555
2013-01-09,894
2013-01-10,768
2013-01-11,746
2013-01-16,538
2013-01-17,556
2013-01-18,445
2013-01-25,517
2013-02-25,555
2013-03-04,187
2013-03-05,136
2013-03-25,418
2013-03-26,148
2013-03-27,782
2013-04-02,737
2013-04-03,405
2013-04-04,735
2013-04-05,102
2013-04-08,3
2013-04-09,197
2013-04-15,156
2013-04-16,209
2013-04-18,338
2013-04-23,946
2013-04-26,260
2013-04-29,909
2013-05-02,353
2013-05-03,824
2013-05-06,149
2013-05-14,757
2013-05-15,290
2013-05-22,412

2013-06-06,616
2013-06-07,325
2013-06-10,479
2013-06-11,653
2013-06-12,849
2013-06-13,657
2013-06-14,390
2013-06-18,680
2013-06-19,488
2013-06-20,597
2013-06-21,398
2013-06-24,334
2013-06-25,154
2013-06-26,421
2013-06-27,583
2013-06-28,296
2013-07-01,608
2013-07-02,366
2013-07-03,452
2013-07-04,372
2013-07-05,548
2013-07-08,555
2013-07-09,294
2013-07-10,199
2013-07-11,199
2013-07-12,272
2013-07-15,919
2013-07-16,326
2013-07-17,305
2013-07-18,204
2013-07-22,318
2013-07-23,343
2013-07-24,520
2013-07-25,582
2013-07-26,419
2013-07-29,805
2013-07-30,913
2013-07-31,826
2013-08-01,441
2013-08-02,880
2013-08-05,1145
2013-08-06,873
2013-08-07,969
2013-08-08,603
2013-08-09,546
2013-08-12,426
2013-08-13,481
2013-08-14,348
2013-08-16,25
2013-08-19,257
2013-08-20,81
2013-08-23,2
2013-08-26,644
2013-08-27,277
2013-08-28,481
2013-08-29,464
2013-08-30,596
2013-08-31,30
2013-09-02,525
2013-09-03,778
2013-09-04,1007
2013-09-05,792
2013-09-06,1114
2013-09-09,1614
2013-09-10,1484
2013-09-11,790
2013-09-12,1356
2013-09-13,1227
2013-09-16,1540
2013-09-17,1044
2013-09-18,626
2013-09-19,687
2013-09-20,779
2013-09-21,110
2013-09-22,1
2013-09-23,1687
2013-09-24,1213
2013-09-25,643
2013-09-26,1824
2013-09-27,1142
2013-09-28,16
2013-09-29,98
2013-09-30,1641
2013-10-01,1352
2013-10-02,1160
2013-10-03,864
2013-10-04,972
2013-10-05,1
2013-10-06,8
2013-10-07,920
2013-10-08,1104
2013-10-09,816
2013-10-10,662
2013-10-11,431
2013-10-14,235
2013-10-15,185
2013-10-16,81
2013-10-17,72
2013-10-18,114
2013-10-19,62
2013-10-20,35
2013-10-21,841
2013-10-22,655
2013-10-23,523
